3422,50001498
1034133,50003439
1034134,50002146
1034136,50001968
3421,50003439
1034158,50000098
3423,50000098
53,50000098
1034589,50003404
1036888,50003404
10398,50003404
1045911,50003404
1045921,50003404
1045912,50003404
1045913,50003404
1045916,50003404
1045922,50003404
1045925,50003404
1045927,50003404
1045928,50003404
1045923,50003404
1045924,50003404
1045926,50003404
1048105,50003404
201466003,50003404
201471703,50003404
1045905,50003404
1031645,50003404
10395,50003404
1036790,50003404
1034934,50003404
1034935,50003404
1034938,50003404
1034939,50003404
1034936,50003404
1034937,50003404
1034932,50003404
1034931,50003404
1034933,50003404
1031644,50003404
1034900,50003404
1034904,50003404
1034901,50003404
1034902,50003404
1034905,50003404
1037228,50003404
1037229,50003404
1037230,50003404
1037231,50003404
1037232,50003404
1041111,50003404
1041112,50003404
1041113,50003404
1041108,50003404
1041109,50003404
1041110,50003404
1041114,50003404
1043452,50003404
1034899,50003404
1034894,50003404
1034893,50003404
1034897,50003404
1034898,50003404
1034896,50003404
1037227,50003404
1037225,50003404
1037226,50003404
1037224,50003404
1037223,50003404
1037222,50003404
1041107,50003404
1042775,50003404
1042774,50003404
1042772,50003404
1042773,50003404
1042771,50003404
1047924,50003404
1034891,50003404
1036942,50003404
1036943,50003404
1036946,50003404
1036947,50003404
1036945,50003404
1036944,50003404
1042768,50003404
1042769,50003404
1042767,50003404
1042770,50003404
1047917,50003404
1047918,50003404
1047919,50003404
1047920,50003404
1047922,50003404
1047923,50003404
1047921,50003404
1041126,50003404
1036444,50003404
1036445,50003404
1036446,50003404
1036729,50003404
1037040,50003404
1036451,50003404
1036447,50003404
1036452,50003404
1036450,50003404
1036448,50003404
1036449,50003404
1037253,50003404
1041762,50003404
1036941,50003404
1047912,50003404
1047910,50003404
1047911,50003404
1047913,50003404
1047914,50003404
1047915,50003404
1047916,50003404
1047909,50003404
1047908,50003404
1031642,50003404
1035768,50003404
1035769,50003404
1035770,50003404
1031643,50003404
1046928,50003404
1034887,50003404
1034889,50003404
1035771,50003404
1035772,50003404
10387,50003404
1031639,50003404
1034906,50003404
1034907,50003404
1045118,50003404
1045119,50003404
1045116,50003404
1045117,50003404
1045107,50003404
1034913,50003404
1034908,50003404
1034912,50003404
1034910,50003404
1034911,50003404
1034909,50003404
1034914,50003404
1034915,50003404
1034916,50003404
1045020,50003404
1045022,50003404
202028501,50003404
1031640,50003404
1046135,50003376
1046136,50003376
1036875,50003376
1036876,50003376
1036874,50003376
1036877,50003376
1036879,50003376
1036867,50003376
1036868,50003376
1036871,50003376
1036872,50003376
1036873,50003376
1036869,50003376
1036866,50003383
201163403,50003383
1032600,50003383
1037133,50003404
1034927,50003404
1034928,50003465
