50003503,065007004001,066011007004
50003504,065007004001,066011007004
50003502,065007004001,066011007004
50003501,065007004001,066011007004
50003505,065007004003,066011007004
50003506,065007004003,066011007004
50003509,065007004002,066011007004
50003510,065007004002,066011007004
50003508,065007004002,066011007004
50003507,065007004002,066011007004
50000979,065007004004,066011007004
50001325,065004005002,066011004005
50001323,065004005002,066011004005
50001322,065004006006,066011004006
50001324,065004005002,066011004005
50001321,065004002001,066011004002
50001330,065004006010,066011004006
50001320,065004003001,066011004003
50001326,065004005005,066011004005
50001327,065004006005,066011004006
50001328,065004006010,066011004006
50001329,065004005002,066011004005
50001319,065004005003,066011004005
50000851,061003009002,066007003009
50003658,061003008002,066007003008
50003657,065007010001,066007003009
50003660,061003009002,066007003009
50003659,061003009002,066007003009
50006874,061003009002,066007003009
50000850,061003009002,066007003009
50000849,061003009002,066007003009
50003661,061003009002,066007003009
50003663,061003009002,066007003009
50003665,061003009002,066007003009
50003662,065007009008,066011007009
50003664,061003009002,066007003009
50003666,061003009002,066007003009
50003669,061003009002,066007003009
50003667,061003009002,066007003009
50003668,061003009002,066007003009
50001339,065003006001,066011003006
50001342,065003001002,066011003001
50001344,065003004001,066011003004
50001340,060001005005,066006001005
50001345,065003001003,066011003001
50001337,065003007001,066011003007
50001341,065003005003,066011001003
50001336,065003004001,066011003004
50001332,065003002003,066011003002
50001333,065003005004,066011001003
50001334,065003004001,066011003004
50001335,065003002001,066011003002
50003671,060001005001,066006001005
50003672,060001005001,066006001005
50003673,060001005001,066006001005
50003262,065003001003,066011003001
50001338,065003007002,066011003007
50001059,056003001017,066002003001
50001058,056003001017,066002003001
50001055,056003001011,066002003001
50001054,056003001010,066002003001
50001056,056003001017,066002003001
50001057,056003001017,066002003001
50000968,065006013003,066011006013
50000965,065006013006,066011006013
50000963,056008002006,066002008001
50000964,065006012003,066011006012
50006788,065006012007,066011006012
50006313,068001008004,066012001008
50006312,065006005002,066011006005
50007190,065006013005,066011006013
50006311,065006012007,066011006012
50006310,065006012007,066011006012
50003330,065006002002,066011006002
50003331,065006002001,066011006002
50003343,065006004001,066011006004
50003345,065006004006,066011006004
50003344,065006004006,066011006004
50003357,065006003001,066011006003
50006876,065006003005,066011006003
50003355,065006003001,066011006003
50003356,065006003003,066011006003
50003353,065006003001,066011006003
50003354,065006003002,066011006003
50006875,065006003001,066011006003
50003347,065006005007,066011006005
50003352,065006005009,066011006005
50003349,065006005008,066011006005
50003346,065006005011,066011006005
50003348,065006005008,066011006005
50003350,065006005008,066011006005
50003351,065008001005,066011008001
50000966,065006013005,066011006013
50001076,065006013005,066011006013
50000962,065006013005,066011006013
50000961,065006013005,066011006013
50001074,065006012005,066011006012
50001075,065006013005,066011006013
50001073,065006013005,066011006013
50001072,065006013005,066011006013
50001070,065006013005,066011006013
50001069,065006013005,066011006013
50000967,065006013005,066011006013
50007247,065006001002,066011005007
50003334,065006001001,066011005007
50003332,065005007003,066011005007
50003336,065005007003,066011005007
50003333,065005007003,066011005007
50003335,065005007003,066011005007
50003338,065005003003,066011005003
50003340,065006001002,066011005007
50003341,065005007008,066011005007
50003337,065005007004,066011005007
50003339,065005007006,066011005007
50003342,065005007008,066011005007
50001071,065006010009,066011006010
50001317,065004005002,066011004005
50001318,065004005001,066011004005
50001313,065004005001,066011004005
50003258,065004005001,066011004005
50003255,065004001001,066011004001
50003260,065004001006,066011004001
50003256,065004001003,066011004001
50003257,065004001002,066011004001
50003261,065004001007,066011004001
50001315,065004003003,066011004003
50001316,065004003001,066011004003
50000976,065007007001,066011007007
50000973,065007001009,066011002006
50003473,065007001003,066011002006
50003471,065002002002,066011002002
50003472,065007001003,066011002006
50003470,065002002001,066011002002
50000974,065007001009,066011002006
50003474,060001001011,066006001001
50003475,065007003002,066011007003
50003476,065007008002,066011007008
50003477,065007005007,066011007005
50003478,065007001001,066011002006
50000969,065007001007,066011002006
50003481,065007002003,066011007002
50003482,065007001004,066011002006
50000972,065007005006,066011007005
50000975,065007001003,066011002006
50000970,065007007002,066011007007
50007048,065007001006,066011002006
50007049,065007005005,066011007005
50003480,065007002004,066011007002
50003479,065007005009,066011007005
50000971,065007001011,066011002006
50003489,065007002004,066011007002
50003488,065007002004,066011007002
50003487,065007002004,066011007002
50003490,065007002004,066011007002
50003499,065007002003,066011007002
50003500,065007002003,066011007002
50003493,065007002004,066011007002
50003492,065007002004,066011007002
50003491,065007002004,066011007002
50003494,065007002004,066011007002
50003497,065007001008,066011002006
50003496,065007002004,066011007002
50003495,065007002004,066011007002
50003498,065007002004,066011007002
50003485,065007002004,066011007002
50003484,065007002004,066011007002
50003483,065007002004,066011007002
50003486,065007002004,066011007002
50000977,065007002004,066011007002
50003237,065006006004,066011006006
50003240,065006006005,066011006006
50003238,065006006001,066011006006
50003239,065006006003,066011006006
50003224,065007005005,066011007005
50003223,065002003001,066011002003
50003222,065002003001,066011002003
50003225,065002003001,066011002003
50003226,065002003002,066011002003
50001308,065002005004,066011002005
50007189,065002005001,066011002005
50003231,065004005004,066011004005
50003229,065005002001,066011005002
50003227,065002001001,066011002001
50003228,065002001001,066011002001
50003230,065002005004,066011002005
50003212,065002002001,066011002002
50003219,065002002003,066011002002
50007069,065007001010,066011002006
50003221,065002005003,066011002005
50003211,065002002001,066011002002
50003217,065002002003,066011002002
50003216,065002002003,066011002002
50003218,065002002003,066011002002
50003215,065002002003,066011002002
50003213,065002002002,066011002002
50003214,065002002002,066011002002
50006200,065002002003,066011002002
50003220,065002002003,066011002002
50001309,065002005004,066011002005
50001307,065002005003,066011002005
50003232,065002005002,066011002005
50003234,065002005002,066011002005
50003233,065002005002,066011002005
50003236,065002005002,066011002005
50003235,065002005002,066011002005
50000983,065007005008,066011007005
50000981,065008003004,066011008003
50000982,065008003003,066011008003
50000984,065007005008,066011007005
50003511,065008003001,066011008003
50003513,065007005008,066011007005
50003512,065007005008,066011007005
50000852,065008003003,066011008003
50000864,065008001002,066011008001
50000857,065008001004,066011008001
50000861,065008002002,066011008002
50000862,065008001002,066011008001
50000860,065008002002,066011008002
50000859,065008002001,066011008002
50000865,065008001002,066011008001
50000853,065008001002,066011008001
50000866,065008001002,066011008001
50000863,065008001002,066011008001
50000858,065008001003,066011008001
50003514,065008001002,066011008001
50003515,065008001002,066011008001
50003516,065008001005,066011008001
50000867,065008001005,066011008001
50006168,065008002001,066011008002
50003641,065006013004,066011006013
50003526,065007009005,066011007009
50003524,061008003002,066007008003
50003522,061008003002,066007008003
50003523,061008003002,066007008003
50003527,065007009005,066011007009
50003525,061008003002,066007008003
50003640,061008003004,066007008003
50003521,065007001003,066011002006
50003517,065007009010,066011007009
50003518,065007009011,066011007009
50003520,065007009005,066011007009
50003643,065007009009,066011007009
50003644,065007009001,066011007009
50003647,065007009001,066011007009
50003649,065007009001,066011007009
50003648,060001005010,066006001005
50003651,065007009001,066011007009
50003652,065007009012,066011007009
50003645,065007009001,066011007009
50003642,065007009009,066011007009
50003646,065007009001,066011007009
50003656,065007004004,066011007004
50003655,065007009001,066011007009
50003654,065007009001,066011007009
50003653,065007009001,066011007009
50003650,065007009001,066011007009
50011581,068001004003,066012001004
50005803,068001004001,066012001004
50005801,068001004001,066012001004
50005802,068001004001,066012001004
50011600,068001004003,066012001004
50005817,068001004003,066012001004
50005819,068001004003,066012001004
50005816,068001004003,066012001004
50005818,068001004003,066012001004
50010100,068001004002,066012001004
50010081,068001004002,066012001004
50010400,068001004004,066012001004
50005814,068001004004,066012001004
50005812,068001004004,066012001004
50005813,068001004004,066012001004
50005804,068001004001,066012001004
50005805,068002008006,066012002001
50005809,068001004002,066012001004
50005808,068001020003,066012001015
50005810,068001009005,066012001009
50005811,068001004002,066012001004
50011620,068001010001,066012001010
50009961,068001010002,066012001010
50009941,068001010002,066012001010
50009980,068001010002,066012001010
50009981,068001010002,066012001010
50010000,068001010002,066012001010
50010080,068001010002,066012001010
50009960,068001010002,066012001010
50011640,068001010002,066012001010
50011320,068001001004,066012001001
50010060,068001009007,066012001009
50010022,068001009007,066012001009
50010025,068001009007,066012001009
50010061,068001009007,066012001009
50010020,068001009007,066012001009
50010062,068001009007,066012001009
